Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
40,Tobias Harris,DET,@,CLE,L,39:52:00,4,11,0.364,1,4,0.25,0,0,,1,9,10,2,2,1,3,1,9,7
Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
41,Courtney Lee,CHO,@,MIA,L,33:29:00,2,6,0.333,0,1,0,4,4,1,0,2,2,1,2,0,1,1,8,6.5
42,Maurice Harkless,POR,@,LAC,L,20:43,3,7,0.429,0,3,0,3,4,0.75,1,2,3,1,0,2,0,5,9,6.3
43,Danny Green,SAS,,MEM,W,19:30,1,1,1,1,1,1,0,0,,0,3,3,0,3,0,0,1,3,6.2
44,Jeremy Lin,CHO,@,MIA,L,24:35:00,2,4,0.5,0,0,,5,6,0.833,1,1,2,3,0,0,2,4,9,6.1
45,Tristan Thompson,CLE,,DET,W,30:22:00,1,1,1,0,0,,0,0,,4,2,6,2,0,0,0,2,2,5.7
46,Chris Andersen,MEM,@,SAS,L,17:26,1,3,0.333,0,0,,0,0,,3,6,9,1,1,1,1,1,2,5.2
47,Jarell Martin,MEM,@,SAS,L,23:07,2,3,0.667,0,0,,1,2,0.5,2,2,4,0,1,0,1,1,5,4.9
48,Allen Crabbe,POR,@,LAC,L,25:29:00,2,5,0.4,0,1,0,2,2,1,0,2,2,1,1,0,0,2,6,4.8
49,Boris Diaw,SAS,,MEM,W,20:37,2,6,0.333,0,1,0,0,0,,0,2,2,5,0,0,0,0,4,4.7
50,Jordan Farmar,MEM,@,SAS,L,21:30,2,6,0.333,2,3,0.667,0,0,,0,2,2,3,0,1,1,1,6,4.6
51,Pat Connaughton,POR,@,LAC,L,2:55,2,2,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,5,4.4
52,Manu Ginobili,SAS,,MEM,W,20:31,1,5,0.2,0,3,0,0,0,,0,7,7,3,1,1,0,1,2,4.4
53,Josh Richardson,MIA,,CHO,W,34:41:00,3,11,0.273,2,5,0.4,0,0,,1,4,5,3,1,0,1,3,8,4.3
54,Ed Davis,POR,@,LAC,L,19:31,1,3,0.333,0,0,,4,8,0.5,2,6,8,2,0,0,2,3,6,4.1
55,Jeremy Lamb,CHO,@,MIA,L,4:11,2,3,0.667,0,0,,0,0,,1,2,3,0,0,0,0,0,4,4
56,Cole Aldrich,LAC,,POR,W,14:30,0,0,,0,0,,1,1,1,3,2,5,0,2,1,2,2,1,3.6
57,Wesley Johnson,LAC,,POR,W,9:29,1,2,0.5,1,2,0.5,0,0,,0,2,2,1,0,1,0,1,3,3.6
58,Boban Marjanovic,SAS,,MEM,W,9:30,3,5,0.6,0,0,,0,0,,0,1,1,1,0,0,1,1,6,3.3
59,Richard Jefferson,CLE,,DET,W,11:59,2,4,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,0,2,5,3.2
60,David West,SAS,,MEM,W,17:03,1,3,0.333,0,0,,2,2,1,2,3,5,2,0,0,2,2,4,3.2
Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
61,JaMychal Green,MEM,@,SAS,L,18:31,3,7,0.429,0,0,,1,2,0.5,1,1,2,0,0,0,0,2,7,3.1
62,Chris Kaman,POR,@,LAC,L,7:54,3,4,0.75,0,0,,0,0,,1,1,2,1,0,0,2,3,6,2.9
63,Xavier Munford,MEM,@,SAS,L,27:35:00,2,9,0.222,0,2,0,0,0,,0,1,1,4,3,1,2,1,4,2.9
64,Aron Baynes,DET,@,CLE,L,11:28,1,1,1,0,0,,1,1,1,0,0,0,0,0,0,0,0,3,2.7
65,Luis Montero,POR,@,LAC,L,2:55,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7
66,P.J. Hairston,MEM,@,SAS,L,12:00,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,1,0,1,1,5,2.6
67,Matthew Dellavedova,CLE,,DET,W,19:19,3,8,0.375,0,4,0,1,2,0.5,0,2,2,1,0,0,0,3,7,2.3
68,Tony Allen,MEM,@,SAS,L,21:04,3,9,0.333,1,1,1,0,0,,2,1,3,1,0,1,2,2,7,2.2
69,C.J. McCollum,POR,@,LAC,L,37:12:00,3,11,0.273,1,5,0.2,2,2,1,0,2,2,3,0,0,2,3,9,2
70,Jonathon Simmons,SAS,,MEM,W,8:13,1,4,0.25,1,2,0.5,0,0,,1,0,1,1,1,0,1,0,3,2
71,Iman Shumpert,CLE,,DET,W,21:39,1,2,0.5,0,1,0,0,0,,1,3,4,0,0,0,0,2,2,1.8
72,Briante Weber,MIA,,CHO,W,2:12,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7
73,Steve Blake,DET,@,CLE,L,14:19,0,0,,0,0,,1,2,0.5,0,2,2,6,0,0,3,2,1,1.6
74,Kyle Anderson,SAS,,MEM,W,15:22,0,1,0,0,0,,0,0,,1,1,2,1,1,1,0,3,0,1.5
75,Josh McRoberts,MIA,,CHO,W,4:11,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,1.4
76,Spencer Hawes,CHO,@,MIA,L,4:11,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,1,0,3,1.3
77,Frank Kaminsky,CHO,@,MIA,L,17:31,0,0,,0,0,,0,2,0,1,0,1,2,1,0,0,3,0,1.1
78,Luc Mbah a Moute,LAC,,POR,W,18:41,0,0,,0,0,,0,0,,0,5,5,1,0,0,0,3,0,1
79,Mason Plumlee,POR,@,LAC,L,19:02,1,6,0.167,0,0,,2,2,1,2,3,5,0,0,0,0,4,4,0.9
80,Noah Vonleh,POR,@,LAC,L,7:04,0,2,0,0,0,,0,0,,1,1,2,1,1,0,0,1,0,0.9
Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
81,Paul Pierce,LAC,,POR,W,10:41,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,1,2,0.3
82,Tyler Hansbrough,CHO,@,MIA,L,4:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
83,Udonis Haslem,MIA,,CHO,W,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
84,Pablo Prigioni,LAC,,POR,W,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
85,Marvin Williams,CHO,@,MIA,L,26:18:00,1,7,0.143,0,2,0,0,0,,1,2,3,1,0,1,0,1,2,-0.2
86,Jorge Gutierrez,CHO,@,MIA,L,4:11,0,2,0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-0.4
87,Timofey Mozgov,CLE,,DET,W,4:34,0,1,0,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4
88,Brian Roberts,POR,@,LAC,L,3:21,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1
89,Troy Daniels,CHO,@,MIA,L,5:52,0,2,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4
90,Jeff Green,LAC,,POR,W,16:06,1,4,0.25,0,1,0,1,2,0.5,0,0,0,0,0,0,0,4,3,-1.4
91,Zach Randolph,MEM,@,SAS,L,28:00:00,3,13,0.231,0,0,,0,0,,1,4,5,3,0,0,3,2,6,-1.7
92,Gerald Green,MIA,,CHO,W,5:10,0,3,0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5
93,Matt Barnes,MEM,@,SAS,L,23:00,1,7,0.143,0,3,0,0,0,,1,3,4,1,0,0,3,2,2,-4

